"Severity","RuleName","ScriptName","Line","Message"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","190","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","195","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","209","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","213","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","218","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","227","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","230","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","252","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","254","Line has trailing whitespace"
"Information","PSAvoidTrailingWhitespace","Sign-QuickChecks.ps1","259","Line has trailing whitespace"
"Warning","PSReviewUnusedParameter","Sign-QuickChecks.ps1","37","The parameter 'CertPath' has been declared but not used."
"Warning","PSReviewUnusedParameter","Sign-QuickChecks.ps1","40","The parameter 'CertPassword' has been declared but not used."
"Warning","PSReviewUnusedParameter","Sign-QuickChecks.ps1","49","The parameter 'CertCredential' has been declared but not used."
"Warning","PSAvoidOverwritingBuiltInCmdlets","Sign-QuickChecks.ps1","201","'Set-AuthenticodeSignature' is a cmdlet that is included with PowerShell (version core-6.1.0-windows) whose definition should not be overridden"
"Warning","PSPossibleIncorrectComparisonWithNull","Sign-QuickChecks.ps1","121","$null should be on the left side of equality comparisons."
"Warning","PSUseShouldProcessForStateChangingFunctions","Sign-QuickChecks.ps1","201","Function 'Set-AuthenticodeSignature' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Warning","PSUseSingularNouns","Sign-QuickChecks.ps1","246","The cmdlet 'Get-ScriptFiles' uses a plural noun. A singular noun should be used instead."
"Information","PSAvoidTrailingWhitespace","Start-QuickChecks.ps1","7","Line has trailing whitespace"
